,timestamp,open,close,volume,trades,bsk,ewm8,ewm13,ewm21,ewm55,StotchRSI
561,2019-03-01,3814.26,3823.0,23174.5722,179860,0,3833.7069,3817.6074,3777.8711,3771.5147,0.1325
562,2019-03-02,3822.17,3819.93,19445.8384,149854,0,3830.6454,3817.9392,3781.6946,3773.2439,0.1245
563,2019-03-03,3819.97,3807.75,16718.1654,127681,0,3825.5575,3816.4836,3784.0633,3774.4762,0.0909
564,2019-03-04,3807.32,3715.3,34742.8417,218615,1,3801.0558,3802.0288,3777.8121,3772.3628,0.0
565,2019-03-05,3716.1,3857.73,32962.5362,202444,0,3813.6501,3809.9861,3785.0773,3775.4116,0.2893
566,2019-03-06,3857.58,3861.84,24775.1188,165101,0,3824.359,3817.3938,3792.0558,3778.4983,0.2968
567,2019-03-07,3861.84,3873.64,26455.2577,180520,0,3835.3103,3825.429,3799.4725,3781.8963,0.3195
568,2019-03-08,3873.63,3864.89,34730.3666,211534,0,3841.8836,3831.0663,3805.4196,3784.8603,0.2966
569,2019-03-09,3864.88,3943.04,30979.7477,206869,0,3864.3628,3847.0625,3817.9305,3790.5096,1.0
570,2019-03-10,3943.43,3916.82,23187.5614,167920,0,3876.0199,3857.0279,3826.9205,3795.0207,0.8371
571,2019-03-11,3915.99,3871.61,38066.8857,209916,0,3875.04,3859.111,3830.9831,3797.756,0.5637
572,2019-03-12,3871.61,3882.73,26921.0086,182885,0,3876.7489,3862.4852,3835.6874,3800.7908,0.6194
573,2019-03-13,3882.69,3866.0,24461.0088,186572,0,3874.3602,3862.9873,3838.4431,3803.1197,0.5125
574,2019-03-14,3866.0,3877.12,27048.7485,196651,0,3874.9735,3865.0062,3841.9592,3805.7626,0.5753
575,2019-03-15,3877.12,3923.76,21740.0615,163866,0,3885.8149,3873.3996,3849.3956,3809.9768,0.8329
576,2019-03-16,3924.46,4005.98,28568.3761,216198,0,3912.5183,3892.3397,3863.6306,3816.9769,1.0
577,2019-03-17,4005.98,3981.14,18814.2556,146953,0,3927.7676,3905.0255,3874.3132,3822.8398,0.8479
578,2019-03-18,3981.85,3987.81,22454.478,157876,0,3941.1103,3916.8518,3884.6311,3828.7316,0.7852
579,2019-03-19,3987.83,4015.53,19893.7418,147394,0,3957.648,3930.9487,3896.531,3835.403,0.9797
580,2019-03-20,4017.48,4043.04,23432.3003,175036,0,3976.624,3946.9617,3909.85,3842.8186,1.0
581,2019-03-21,4043.04,3980.64,35997.6821,236100,0,3977.5165,3951.7729,3916.2855,3847.7408,0.38
582,2019-03-22,3980.85,3986.93,20022.6063,153703,0,3979.6084,3956.7954,3922.7077,3852.7118,0.423
583,2019-03-23,3987.89,4006.01,17302.6043,143155,0,3985.4754,3963.826,3930.2806,3858.1868,0.557
584,2019-03-24,4006.01,3992.18,17179.8506,131087,0,3986.9653,3967.8766,3935.9079,3862.9723,0.4099
585,2019-03-25,3991.35,3936.12,33192.8902,227739,0,3975.6663,3963.3399,3935.9271,3865.5847,0.0
586,2019-03-26,3935.47,3948.55,29349.5376,192418,0,3969.6405,3961.2271,3937.0747,3868.5477,0.0928
587,2019-03-27,3948.77,4038.05,32364.5559,224309,0,3984.8426,3972.2018,3946.2542,3874.6014,0.6815
588,2019-03-28,4039.58,4027.81,20089.2939,157060,0,3994.3909,3980.1458,3953.6684,3880.0731,0.5887
589,2019-03-29,4028.22,4103.25,30084.2174,203826,0,4018.5818,3997.7321,3967.2667,3888.0437,1.0
590,2019-03-30,4104.24,4106.97,19509.2926,162463,0,4038.2236,4013.3375,3979.967,3895.8625,1.0
591,2019-03-31,4106.99,4103.95,13525.0874,124046,0,4052.8295,4026.2822,3991.2382,3903.2942,0.9696
592,2019-04-01,4102.44,4144.56,25507.0676,184268,0,4073.2141,4043.179,4005.1766,3911.9108,1.0
593,2019-04-02,4144.54,4857.29,105383.6393,609133,0,4247.4532,4159.4806,4082.6414,3945.6744,1.0
594,2019-04-03,4857.19,4932.6,109890.1257,692019,0,4399.708,4269.9262,4159.9104,3980.9217,1.0
595,2019-04-04,4932.59,4898.66,61054.2542,419141,0,4510.5862,4359.7453,4227.0694,4013.6981,0.9256
596,2019-04-05,4898.64,5004.95,39768.5528,292375,0,4620.4448,4451.9174,4297.7858,4049.0999,0.9632
597,2019-04-06,5004.96,5043.89,41770.8423,281237,0,4714.5438,4536.4849,4365.6135,4084.6282,0.9762
598,2019-04-07,5042.07,5170.27,37615.4868,274084,0,4815.8163,4627.0257,4438.7641,4123.4011,1.0
599,2019-04-08,5170.27,5236.9,50178.4308,350828,0,4909.3904,4714.1506,4511.3219,4163.1689,1.0
600,2019-04-09,5238.38,5150.0,34067.0123,253381,0,4962.8592,4776.4148,4569.3835,4198.4129,0.7703
601,2019-04-10,5150.0,5308.25,40073.6205,260967,1,5039.6127,4852.3912,4636.5532,4238.0499,0.847
